Input Size,Run Time (ns)
0,2238
1,2542
2,2538
3,2482
4,2266
5,2303
6,2279
7,2312
8,2540
9,2423
10,2679
11,2905
12,2765
13,2860
14,2734
15,2494
16,2534
17,2462
18,2495
19,2540
20,2878
21,5552
22,5567
23,6050
24,6362
Input Size,Run Time (ns)
0,2074
1,2097
2,2028
3,2348
4,2476
5,2192
6,3008
7,2379
8,2302
9,2285
10,2843
11,2804
12,2788
13,3088
14,2809
15,2706
16,2651
17,2902
18,2621
19,2600
20,3371
21,6634
22,5643
23,5812
24,6493
Input Size,Run Time (ns)
0,2612
1,2619
2,2329
3,2626
4,2379
5,2674
6,2687
7,2482
8,2626
9,2775
10,2727
11,2724
12,2669
13,2776
14,2845
15,2976
16,2855
17,2695
18,2734
19,2965
20,2898
21,6494
22,6117
23,7037
24,6044
Input Size,Run Time (ns)
0,1543
1,1939
2,1746
3,1914
4,1740
5,2250
6,2506
7,2344
8,2807
9,2421
10,2111
11,1905
12,2035
13,1897
14,2138
15,1926
16,1854
17,1923
18,1874
19,2281
20,2282
21,3151
22,4631
23,5046
24,5408
